AQ,DQ,Loss,ccODP,Dispersion
1,1,8256,36459.0785506508,311508.573849389
2,1,10932,23291.1379028449,311508.573849389
3,1,0,34080.8388063057,311508.573849389
4,1,4663,22260.9643010421,311508.573849389
5,1,9368,32760.7052938615,311508.573849389
6,1,441867,25728.9204504214,311508.573849389
7,1,6347,27069.2020391934,311508.573849389
8,1,2799,34023.3259100256,311508.573849389
9,1,0,29379.1550289093,311508.573849389
10,1,17146,27900.5423160706,311508.573849389
11,1,0,33979.7462713602,311508.573849389
12,1,0,37726.4806370705,311508.573849389
13,1,0,44856.3477880525,311508.573849389
14,1,0,46024.2755364107,311508.573849389
15,1,0,27125.9321207903,311508.573849389
16,1,5498,29621.4740127944,311508.573849389
17,1,1846,34412.8956769265,311508.573849389
18,1,8906,48951.5595548781,311508.573849389
19,1,11864,40000.3797674677,311508.573849389
20,1,7730,41583.5399436675,311508.573849389
21,1,242689,44481.0046333169,311508.573849389
22,1,13070,50427.1710727844,311508.573849389
23,1,8963,40767.7249461397,311508.573849389
24,1,0,38936.7328172342,311508.573849389
25,1,0,52548.6641277815,311508.573849389
26,1,0,65033.7331752141,311508.573849389
27,1,0,56752.9444711979,311508.573849389
28,1,9316,55538.4123964644,311508.573849389
29,1,310138,66348.7570682529,311508.573849389
30,1,0,74538.7677105305,311508.573849389
31,1,0,53054.1283485739,311508.573849389
32,1,27267,67460.7868374598,311508.573849389
33,1,0,66984.4675746211,311508.573849389
34,1,12883,63110.3288182889,311508.573849389
35,1,0,68386.1854227774,311508.573849389
36,1,54702,89267.0805422867,311508.573849389
37,1,88073,104213.682664556,311508.573849389
38,1,649039,165173.950809348,311508.573849389
39,1,0,53101.0187805102,311508.573849389
40,1,29548,97048.6990034131,311508.573849389
1,2,49156,110372.066111688,311508.573849389
2,2,206954,70508.9408350766,311508.573849389
3,2,44105,103172.453704379,311508.573849389
4,2,135107,67390.3104855261,311508.573849389
5,2,79270,99176.031712822,311508.573849389
6,2,13794,77888.8063501424,311508.573849389
7,2,71573,81946.2223355387,311508.573849389
8,2,80651,102998.345705965,311508.573849389
9,2,42042,88939.1111915096,311508.573849389
10,2,146584,84462.9273003481,311508.573849389
