AQ,DQ,Loss,ccODP,Dispersion
1,1,52571,66205.2590535227,21714.4012030437
2,1,67447,67228.6250758589,21714.4012030437
3,1,25762,62099.8823516629,21714.4012030437
4,1,65160,68206.0205201986,21714.4012030437
5,1,76845,72513.5994592373,21714.4012030437
6,1,95997,64790.6011211883,21714.4012030437
7,1,21737,64167.3942360729,21714.4012030437
8,1,37386,64859.2457146245,21714.4012030437
9,1,45072,71836.9221137852,21714.4012030437
10,1,65309,65794.8689012221,21714.4012030437
11,1,154108,75266.9297094593,21714.4012030437
12,1,61855,70494.0406195889,21714.4012030437
13,1,85742,70075.5888011062,21714.4012030437
14,1,90132,71862.3564980516,21714.4012030437
15,1,94051,73513.0371559195,21714.4012030437
16,1,43487,76680.199629649,21714.4012030437
17,1,28831,75372.3258205223,21714.4012030437
18,1,74646,75992.7236696527,21714.4012030437
19,1,52726,73322.4901784256,21714.4012030437
20,1,67893,75670.9408268844,21714.4012030437
21,1,197332,81806.4130288819,21714.4012030437
22,1,59192,80286.924037962,21714.4012030437
23,1,72571,80104.1473688071,21714.4012030437
24,1,108025,81300.969300783,21714.4012030437
25,1,62465,84333.9040265139,21714.4012030437
26,1,46969,78998.1097398926,21714.4012030437
27,1,37176,86966.3093350447,21714.4012030437
28,1,74971,86740.4676707727,21714.4012030437
29,1,39464,78771.5642369116,21714.4012030437
30,1,223596,90399.9805820677,21714.4012030437
31,1,81834,91162.531418903,21714.4012030437
32,1,61841,92315.8117420135,21714.4012030437
33,1,171161,100913.962138724,21714.4012030437
34,1,86527,94644.0370027551,21714.4012030437
35,1,134513,95431.0940346898,21714.4012030437
36,1,109473,92344.3358346498,21714.4012030437
37,1,28383,97176.6772891215,21714.4012030437
38,1,71290,101170.526400785,21714.4012030437
39,1,113039,85758.1833541305,21714.4012030437
40,1,87908,87908,21714.4012030437
1,2,301433,378431.608086168,21714.4012030437
2,2,372010,384281.204553728,21714.4012030437
3,2,392114,354965.129300422,21714.4012030437
4,2,364957,389868.031567554,21714.4012030437
5,2,384318,414490.305510183,21714.4012030437
6,2,313962,370345.373187632,21714.4012030437
7,2,302583,366783.100536242,21714.4012030437
8,2,352832,370737.748117538,21714.4012030437
9,2,530774,410622.393811689,21714.4012030437
10,2,421503,376085.803425056,21714.4012030437
11,2,459208,430228.438840973,21714.4012030437
12,2,365598,402946.435578416,21714.4012030437
13,2,587243,400554.550147578,21714.4012030437
14,2,494550,410767.777653943,21714.4012030437
15,2,310557,420203.126819916,21714.4012030437
16,2,373470,438306.739812876,21714.4012030437
17,2,369521,430830.886748674,21714.4012030437
18,2,507684,434377.102850778,21714.4012030437
19,2,457646,419113.953540635,21714.4012030437
20,2,529412,432537.780712564,21714.4012030437
21,2,639910,467608.357355015,21714.4012030437
22,2,430748,458922.904408774,21714.4012030437
23,2,571882,457878.146487459,21714.4012030437
24,2,524524,464719.223084474,21714.4012030437
25,2,395619,482055.585510771,21714.4012030437
26,2,424423,451555.996185538,21714.4012030437
27,2,403169,497102.507587407,21714.4012030437
28,2,519399,495811.588627114,21714.4012030437
29,2,434419,450261.05405823,21714.4012030437
30,2,270779,516729.494177697,21714.4012030437
31,2,581573,521088.261797619,21714.4012030437
32,2,606148,527680.453014574,21714.4012030437
33,2,468352,576827.785533327,21714.4012030437
34,2,555821,540988.671153211,21714.4012030437
35,2,580395,545487.517053199,21714.4012030437
36,2,486943,527843.497739417,21714.4012030437
