AQ,DQ,Loss,ccODP,Dispersion
1,1,65880,56749.970013732,21689.8640130268
2,1,77005,56317.2284244218,21689.8640130268
3,1,45386,54077.7697570795,21689.8640130268
4,1,77043,57880.5105891742,21689.8640130268
5,1,54749,59326.2962115982,21689.8640130268
6,1,28934,58677.2707224839,21689.8640130268
7,1,32653,56562.2640592366,21689.8640130268
8,1,56459,57871.4986683217,21689.8640130268
9,1,41896,58438.342065445,21689.8640130268
10,1,53696,56436.9253956217,21689.8640130268
11,1,82655,63764.3536006491,21689.8640130268
12,1,38307,58768.3596532154,21689.8640130268
13,1,72341,62363.6663998907,21689.8640130268
14,1,36236,65001.7324973906,21689.8640130268
15,1,37480,64815.2109421159,21689.8640130268
16,1,53286,59297.906752628,21689.8640130268
17,1,57344,60484.4133829478,21689.8640130268
18,1,53479,62787.2608162062,21689.8640130268
19,1,28056,62737.0761339529,21689.8640130268
20,1,139674,65725.6068717664,21689.8640130268
21,1,117158,67427.4515253441,21689.8640130268
22,1,60509,67557.5601862162,21689.8640130268
23,1,82836,63987.8729705445,21689.8640130268
24,1,117091,65331.2080603676,21689.8640130268
25,1,168417,69169.5447296134,21689.8640130268
26,1,84283,71179.7169440813,21689.8640130268
27,1,36556,69582.5571282147,21689.8640130268
28,1,103834,76194.0865646174,21689.8640130268
29,1,58592,74779.8929988878,21689.8640130268
30,1,59490,79265.8981249107,21689.8640130268
31,1,61533,78719.0876597558,21689.8640130268
32,1,71922,78341.4334922648,21689.8640130268
33,1,50214,65981.883224446,21689.8640130268
34,1,47656,69536.4490217201,21689.8640130268
35,1,57615,82763.0394929506,21689.8640130268
36,1,46956,89060.3011755615,21689.8640130268
37,1,111375,97136.2801937135,21689.8640130268
38,1,113720,97359.6413021217,21689.8640130268
39,1,50269,71127.4322467887,21689.8640130268
40,1,65091,87619.1807235412,21689.8640130268
1,2,351838,368480.068708132,21689.8640130268
2,2,355915,365670.258402976,21689.8640130268
3,2,290136,351129.354092161,21689.8640130268
4,2,415490,375820.71873518,21689.8640130268
5,2,433331,385208.268814222,21689.8640130268
6,2,367537,380994.117568603,21689.8640130268
7,2,420499,367261.285632253,21689.8640130268
8,2,310605,375762.203933954,21689.8640130268
9,2,387300,379442.743216499,21689.8640130268
10,2,469758,366447.456138256,21689.8640130268
11,2,585287,414024.7719992,21689.8640130268
12,2,385362,381585.562030096,21689.8640130268
13,2,442483,404930.047969405,21689.8640130268
14,2,337973,422059.127978225,21689.8640130268
15,2,438358,420848.035258941,21689.8640130268
16,2,541685,385023.934799783,21689.8640130268
17,2,379380,392727.974899841,21689.8640130268
18,2,532435,407680.465275185,21689.8640130268
19,2,353096,407354.613910677,21689.8640130268
20,2,364745,426759.27635084,21689.8640130268
21,2,345277,437809.429059805,21689.8640130268
22,2,354365,438654.230357251,21689.8640130268
23,2,495963,415476.093167417,21689.8640130268
24,2,507879,424198.427400833,21689.8640130268
25,2,439138,449120.917390984,21689.8640130268
26,2,526397,462173.05460838,21689.8640130268
27,2,342338,451802.625187078,21689.8640130268
28,2,474467,494731.57863678,21689.8640130268
29,2,345861,485549.157181042,21689.8640130268
30,2,665128,514676.987145744,21689.8640130268
31,2,434940,511126.522577712,21689.8640130268
32,2,450751,508674.397342204,21689.8640130268
33,2,374516,428423.290059056,21689.8640130268
34,2,338102,451503.243209519,21689.8640130268
35,2,666007,537384.08093391,21689.8640130268
36,2,461908,578272.479939584,21689.8640130268
37,2,570936,630710.169382839,21689.8640130268
38,2,653613,632160.462952211,21689.8640130268
39,2,482692,461833.567753213,21689.8640130268
40,2,696132,568915.22101859,21689.8640130268
1,3,905382,730737.768133646,21689.8640130268
2,3,604146,725165.595618407,21689.8640130268
3,3,600613,696329.333185047,21689.8640130268
4,3,665211,745295.109691416,21689.8640130268
5,3,731429,763911.686205452,21689.8640130268
6,3,767583,755554.546329211,21689.8640130268
7,3,973426,728320.783063518,21689.8640130268
8,3,840954,745179.068204015,21689.8640130268
9,3,773501,752477.99503684,21689.8640130268
10,3,884864,726706.866874864,21689.8640130268
11,3,798304,821058.080301155,21689.8640130268
12,3,700324,756727.447776177,21689.8640130268
13,3,981179,803022.211054214,21689.8640130268
14,3,754815,836991.119439709,21689.8640130268
15,3,895159,834589.385218928,21689.8640130268
16,3,842559,763546.130948217,21689.8640130268
17,3,703277,778824.116235361,21689.8640130268
18,3,854792,808476.600515518,21689.8640130268
19,3,749383,807830.40030263,21689.8640130268
20,3,840276,846312.046739098,21689.8640130268
21,3,760009,868225.752835588,21689.8640130268
22,3,822049,869901.089623211,21689.8640130268
23,3,732870,823936.214782151,21689.8640130268
24,3,707138,841233.592827557,21689.8640130268
25,3,646946,890657.717110821,21689.8640130268
26,3,884846,916541.585546507,21689.8640130268
27,3,1116101,895975.847821593,21689.8640130268
28,3,890184,981108.831383306,21689.8640130268
29,3,862283,962899.048194344,21689.8640130268
30,3,1000633,1020662.83860397,21689.8640130268
31,3,955093,1013621.86468271,21689.8640130268
32,3,1187266,1008759.02222813,21689.8640130268
33,3,723027,849611.974649848,21689.8640130268
34,3,972395,895382.139405102,21689.8640130268
35,3,1139556,1065693.58095522,21689.8640130268
36,3,1276146,1146779.91362097,21689.8640130268
37,3,1222911,1250769.79910973,21689.8640130268
38,3,1215833,1253645.89574567,21689.8640130268
39,3,1142228,915868.344609147,21689.8640130268
40,3,1075935,1128223.40790887,21689.8640130268
1,4,1188298,994126.341567251,21689.8640130268
2,4,1068908,986545.724116336,21689.8640130268
3,4,997769,947315.661941548,21689.8640130268
4,4,1088727,1013930.76024775,21689.8640130268
5,4,1109451,1039257.53259958,21689.8640130268
6,4,955304,1027888.12861714,21689.8640130268
7,4,943440,990838.173594866,21689.8640130268
8,4,902838,1013772.892536,21689.8640130268
9,4,1043735,1023702.65906253,21689.8640130268
