AQ,DQ,Loss,ccODP,Dispersion
1,1,37152,48240.8470075819,20751.8135432118
2,1,56943,48566.8957863293,20751.8135432118
3,1,38091,50129.0807034237,20751.8135432118
4,1,39709,50521.2017276179,20751.8135432118
5,1,53977,48779.8661364901,20751.8135432118
6,1,33341,47872.9497700221,20751.8135432118
7,1,57837,49729.4565573323,20751.8135432118
8,1,60778,47416.0376836762,20751.8135432118
9,1,26814,53623.4719821901,20751.8135432118
10,1,84550,48517.0524441214,20751.8135432118
11,1,58068,51853.6156963539,20751.8135432118
12,1,68967,53012.4789254866,20751.8135432118
13,1,59674,55311.0023814828,20751.8135432118
14,1,66602,56591.9474250268,20751.8135432118
15,1,88446,55425.1000252344,20751.8135432118
16,1,59846,51287.3908417678,20751.8135432118
17,1,49686,51263.5176517952,20751.8135432118
18,1,30636,56365.3454704451,20751.8135432118
19,1,10522,51995.3808191785,20751.8135432118
20,1,84053,55910.5161233981,20751.8135432118
21,1,58841,58427.3614501558,20751.8135432118
22,1,41123,56299.7121109707,20751.8135432118
23,1,57791,58067.0228577974,20751.8135432118
24,1,52784,61339.3269611767,20751.8135432118
25,1,126257,67081.1765822575,20751.8135432118
26,1,30626,61506.9882801688,20751.8135432118
27,1,60500,62086.6402156061,20751.8135432118
28,1,51595,59569.6056096233,20751.8135432118
29,1,32794,59124.5478875572,20751.8135432118
30,1,115116,65964.6104719146,20751.8135432118
31,1,65414,66043.7273739547,20751.8135432118
32,1,36727,66968.2038018269,20751.8135432118
33,1,98085,71854.60908671,20751.8135432118
34,1,96881,76079.5667027132,20751.8135432118
35,1,36872,72125.0834861407,20751.8135432118
36,1,54788,74844.0922980613,20751.8135432118
37,1,35036,67502.2162198193,20751.8135432118
38,1,112819,78867.0829390335,20751.8135432118
39,1,40948,54524.2705328485,20751.8135432118
40,1,24843,66211.6724387852,20751.8135432118
1,2,274261,345582.259094528,20751.8135432118
2,2,321432,347917.97002259,20751.8135432118
3,2,306600,359108.971554715,20751.8135432118
4,2,392308,361918.003273378,20751.8135432118
5,2,355863,349443.622644675,20751.8135432118
6,2,276645,342946.758966378,20751.8135432118
7,2,250402,356246.189830064,20751.8135432118
8,2,499197,339673.584451383,20751.8135432118
9,2,330963,384141.691898255,20751.8135432118
10,2,285617,347560.907991769,20751.8135432118
11,2,537723,371462.997980717,20751.8135432118
12,2,401794,379764.729760889,20751.8135432118
13,2,370852,396230.629051175,20751.8135432118
14,2,329289,405406.916562344,20751.8135432118
15,2,486775,397047.988694111,20751.8135432118
16,2,276487,367406.741166392,20751.8135432118
17,2,436814,367235.721140122,20751.8135432118
18,2,468720,403783.611412513,20751.8135432118
19,2,275884,372478.55874396,20751.8135432118
20,2,394636,400525.356986958,20751.8135432118
21,2,590015,418555.245510178,20751.8135432118
22,2,312337,403313.434663014,20751.8135432118
23,2,434749,415973.893139508,20751.8135432118
24,2,419330,439415.65079174,20751.8135432118
25,2,404944,480548.456008081,20751.8135432118
26,2,527107,440616.723761519,20751.8135432118
27,2,396216,444769.167961047,20751.8135432118
28,2,419145,426737.923500975,20751.8135432118
29,2,445301,423549.66992419,20751.8135432118
30,2,564764,472549.727486999,20751.8135432118
