AQ,DQ,Loss,ccODP,Dispersion
1,1,60180,49425.7180939278,19840.3602686193
2,1,29040,51714.094535319,19840.3602686193
3,1,36788,50673.8084965207,19840.3602686193
4,1,43754,54026.800446764,19840.3602686193
5,1,113013,52613.429462594,19840.3602686193
6,1,34112,53888.7717551028,19840.3602686193
7,1,12884,48729.2092345476,19840.3602686193
8,1,21176,55636.492083327,19840.3602686193
9,1,59705,54341.0954844232,19840.3602686193
10,1,168713,56271.1234096847,19840.3602686193
11,1,45824,55823.5456253479,19840.3602686193
12,1,38208,55480.646665108,19840.3602686193
13,1,88967,52177.8059367794,19840.3602686193
14,1,83994,57919.4874706244,19840.3602686193
15,1,110309,60898.5445791168,19840.3602686193
16,1,53668,55202.7858975158,19840.3602686193
17,1,89533,59240.2199955474,19840.3602686193
18,1,35149,53679.0347501072,19840.3602686193
19,1,25671,57019.310255364,19840.3602686193
20,1,98707,58262.8704308914,19840.3602686193
21,1,43071,57210.1673133109,19840.3602686193
22,1,21317,58315.5125752978,19840.3602686193
23,1,118940,61834.595780092,19840.3602686193
24,1,35124,63585.1086638439,19840.3602686193
25,1,86873,64498.5387149672,19840.3602686193
26,1,38813,62367.378067553,19840.3602686193
27,1,33814,65902.2771721647,19840.3602686193
28,1,88544,70208.6462116072,19840.3602686193
29,1,80323,65845.3829289596,19840.3602686193
30,1,30358,68833.9584005605,19840.3602686193
31,1,28073,69025.1482350259,19840.3602686193
32,1,63970,70010.2294253756,19840.3602686193
33,1,37815,69886.1642177758,19840.3602686193
34,1,74923,71644.2989974337,19840.3602686193
35,1,70435,76320.1103080817,19840.3602686193
36,1,99489,73151.0427793672,19840.3602686193
37,1,59024,79968.1861542301,19840.3602686193
38,1,63065,87997.9539642875,19840.3602686193
39,1,72228,65964.5054814724,19840.3602686193
40,1,22497,77428.3569719888,19840.3602686193
1,2,242302,340463.813030829,19840.3602686193
2,2,310044,356227.051258454,19840.3602686193
3,2,459391,349061.151296435,19840.3602686193
4,2,431734,372157.880458206,19840.3602686193
5,2,399086,362422.024449333,19840.3602686193
6,2,340294,371207.084466101,19840.3602686193
7,2,252380,335665.98568063,19840.3602686193
8,2,328345,383246.070443562,19840.3602686193
9,2,591644,374322.868465761,19840.3602686193
10,2,418327,387617.660975235,19840.3602686193
11,2,276723,384534.568913858,19840.3602686193
12,2,393057,382172.545821636,19840.3602686193
13,2,425437,359421.278028959,19840.3602686193
14,2,448660,398972.241851207,19840.3602686193
15,2,513154,419493.160545123,19840.3602686193
16,2,318239,380258.531416294,19840.3602686193
17,2,386892,408069.967666229,19840.3602686193
18,2,415260,369762.333368732,19840.3602686193
19,2,369882,392771.466648941,19840.3602686193
20,2,347102,401337.598926245,19840.3602686193
21,2,459932,394086.165234988,19840.3602686193
22,2,397528,401700.218750537,19840.3602686193
23,2,401980,425941.049890311,19840.3602686193
24,2,536811,437999.272090121,19840.3602686193
25,2,506900,444291.33804557,19840.3602686193
26,2,341473,429611.064127829,19840.3602686193
27,2,432592,453960.841414793,19840.3602686193
28,2,492804,483624.807463808,19840.3602686193
29,2,491813,453568.931459245,19840.3602686193
30,2,431374,474155.416387152,19840.3602686193
31,2,500092,475472.407268926,19840.3602686193
32,2,455422,482258.034491864,19840.3602686193
33,2,403189,481403.424477627,19840.3602686193
34,2,418918,493514.149298396,19840.3602686193
35,2,570803,525722.979219908,19840.3602686193
36,2,512914,503893.193914049,19840.3602686193
37,2,515698,550852.362478336,19840.3602686193
38,2,515473,606164.565756172,19840.3602686193
39,2,448126,454389.494518528,19840.3602686193
40,2,461098,533357.018734628,19840.3602686193
1,3,644148,702868.857677952,19840.3602686193
2,3,757070,735411.197927641,19840.3602686193
3,3,735692,720617.590713701,19840.3602686193
4,3,840489,768299.520542059,19840.3602686193
5,3,829927,748200.380106085,19840.3602686193
6,3,642276,766336.654395121,19840.3602686193
7,3,722126,692964.006413581,19840.3602686193
8,3,666691,791190.480257702,19840.3602686193
9,3,862668,772769.019471211,19840.3602686193
10,3,673031,800215.389001688,19840.3602686193
11,3,825630,793850.514638081,19840.3602686193
12,3,880537,788974.247589726,19840.3602686193
13,3,809039,742005.503799279,19840.3602686193
14,3,808389,823656.298091735,19840.3602686193
15,3,764595,866020.608567189,19840.3602686193
16,3,700108,785022.869889154,19840.3602686193
17,3,739650,842438.053762469,19840.3602686193
18,3,924313,763354.045041143,19840.3602686193
19,3,766785,810855.137979191,19840.3602686193
20,3,812809,828539.447964647,19840.3602686193
21,3,968694,813569.261060701,19840.3602686193
22,3,871351,829288.056691674,19840.3602686193
23,3,967237,879331.92226641,19840.3602686193
24,3,900790,904225.460254366,19840.3602686193
25,3,669135,917215.085116906,19840.3602686193
26,3,822338,886908.46525294,19840.3602686193
27,3,1110057,937177.24416969,19840.3602686193
28,3,1032009,998416.874148166,19840.3602686193
29,3,998940,936368.1675741,19840.3602686193
30,3,1025736,978867.835941417,19840.3602686193
31,3,1075152,981586.691341656,19840.3602686193
32,3,792459,995595.246354764,19840.3602686193
33,3,949354,993830.950880542,19840.3602686193
34,3,923355,1018832.87764817,19840.3602686193
35,3,1097631,1085326.23943175,19840.3602686193
36,3,964749,1040259.84566528,19840.3602686193
37,3,1187010,1137204.47209257,19840.3602686193
38,3,1367018,1251393.48027954,19840.3602686193
39,3,897294,938062.174978286,19840.3602686193
40,3,1596125,1101086.2950612,19840.3602686193
1,4,787977,927867.287922071,19840.3602686193
2,4,853125,970826.899320803,19840.3602686193
3,4,925384,951297.645670939,19840.3602686193
4,4,1091917,1014243.24701525,19840.3602686193
5,4,973158,987710.08265298,19840.3602686193
6,4,1121483,1011652.03918406,19840.3602686193
7,4,778340,914791.751313,19840.3602686193
8,4,1149911,1044461.93216152,19840.3602686193
9,4,1139277,1020143.49683349,19840.3602686193
10,4,1165124,1056375.84399379,19840.3602686193
11,4,1046170,1047973.48180459,19840.3602686193
12,4,892435,1041536.25154191,19840.3602686193
13,4,880939,979532.137343525,19840.3602686193
14,4,1259618,1087320.52521877,19840.3602686193
15,4,1087861,1143246.26077549,19840.3602686193
16,4,1066507,1036319.98100931,19840.3602686193
17,4,1244337,1112114.59100537,19840.3602686193
18,4,876871,1007714.65367896,19840.3602686193
19,4,1073981,1070421.52964352,19840.3602686193
20,4,992932,1093766.84159714,19840.3602686193
21,4,864257,1074004.48255887,19840.3602686193
22,4,975346,1094755.09074444,19840.3602686193
23,4,1293286,1160818.71743772,19840.3602686193
24,4,1182216,1193681.03496304,19840.3602686193
25,4,1217698,1210828.82556532,19840.3602686193
26,4,1500457,1170820.62080268,19840.3602686193
27,4,1093900,1237181.15883353,19840.3602686193
28,4,1284834,1318024.47513752,19840.3602686193
29,4,1186061,1236113.08518328,19840.3602686193
30,4,1296803,1292217.5086398,19840.3602686193
31,4,1139643,1295806.70875717,19840.3602686193
32,4,1346408,1314299.60370583,19840.3602686193
33,4,1311511,1311970.5318756,19840.3602686193
34,4,1429894,1344975.93498786,19840.3602686193
35,4,1584532,1432754.77820874,19840.3602686193
36,4,1460345,1373261.98363725,19840.3602686193
37,4,1507533,1501239.97927485,19840.3602686193
38,4,1238858,1651982.53128802,19840.3602686193
39,4,1388124,1238349.36872134,19840.3602686193
40,4,1579704,1453559.85431171,19840.3602686193
1,5,1036851,1065501.89696488,19840.3602686193
