AQ,1,2,3,4,5,6,7,8,9,10
1,258,2288,4163,7613,12031,11166,10132,4708,3638,2706
2,548,4097,6614,15089,10116,7213,7704,4590,4148,1153
3,1113,4427,10397,14293,10057,13277,8781,9013,3029,2560
4,976,6633,11495,18444,20880,9381,10451,4863,5072,1788
5,914,9590,12137,12673,13664,12923,11624,8625,3152,4482
6,1242,7363,10155,13544,18686,18481,6279,8418,4876,4994
7,2087,9479,16579,16563,16828,16242,9316,4515,6682,3792
8,2596,12700,18019,17469,20194,15764,7699,8889,4773,5086
9,3196,9791,11705,21376,17047,12432,9362,5350,4301,1375
10,4039,7871,15721,21928,15852,12014,7069,7608,3409,6460
