AQ,1,2,3,4,5,6,7,8,9,10
1,2716,21860,19414,15732,11297,5335,438,415,381,68
2,3835,21323,19987,15186,7126,3364,948,316,-50,136
3,4838,23127,22908,15527,5475,2880,421,74,0,0
4,4456,29785,30496,14653,5075,2910,1744,706,508,10
5,5970,30110,32188,13515,4293,1091,1115,575,230,15
6,9398,36812,30835,9253,5498,2031,2044,72,44,21
7,6181,33023,30802,12379,4138,1864,2021,117,1115,156
8,7828,34528,28373,8611,1802,749,14,-8,-116,1
9,8854,42546,30253,8851,3780,2172,849,-130,37,13
10,7818,39280,37044,9582,3677,325,524,105,272,28
