AQ,1,2,3,4,5,6,7,8,9,10
1,21898,34441,22118,14363,8441,2668,3926,4046,487,-661
2,22549,36910,23459,15850,6736,5145,3184,2858,-636,1603
3,23881,36434,25513,12828,7934,3517,3052,84,2167,1309
4,25897,45512,24034,15608,9729,3719,-147,2804,2205,1539
5,23486,35679,22346,14566,10986,2442,7251,3466,2692,2112
6,27029,33749,19383,9546,2667,6273,3494,2912,3231,1949
7,25845,34698,16200,5727,8444,5398,4158,3423,2314,1258
8,25415,29376,10063,16470,9433,5568,4263,3645,2089,1778
9,32804,26337,24705,17592,9933,6331,5507,3368,3840,1727
10,40409,50183,27823,19483,13574,8090,4924,3578,3145,2372
