AQ,1,2,3,4,5,6,7,8,9,10
1,41821,34729,20147,15965,11285,5924,4775,3742,3435,2958
2,48167,39495,24444,18178,10840,7379,5683,4758,3959,2693
3,52058,47459,27359,17916,11448,8846,5869,5391,3485,2855
4,57251,49510,27036,20871,14304,10552,7742,5391,3779,3662
5,59213,54129,29566,22484,14114,10000,7084,5699,4866,4169
6,59475,52076,26836,22332,14756,10146,7338,5271,4140,3944
7,65607,44648,27062,22655,14848,10860,6755,5985,3866,3685
8,56748,39315,26748,19885,13583,8005,7527,5456,3839,4412
9,52212,40030,26243,19249,11841,10008,8870,5835,4688,4305
10,43962,33045,22450,15158,11870,7764,6422,4194,3712,2450
