AQ,1,2,3,4,5,6,7,8,9,10
1,7113,7415,4267,2239,1789,1300,812,685,359,134
2,9163,9607,5125,4273,2929,1549,1212,936,194,353
3,11334,10741,7116,4894,3018,1750,1506,656,731,546
4,13131,14791,8358,5235,4423,2699,1802,908,606,1018
5,17184,19744,11614,7668,4489,2352,1815,1017,688,642
6,21222,21297,12453,7682,4548,2854,1789,1341,1189,1235
7,20546,22129,11605,7299,4529,3340,1767,1591,1324,1340
8,21313,21355,13240,7889,4711,3369,2063,1077,894,959
9,21886,20201,11954,7451,3872,2545,1862,1297,1284,1353
10,22408,21284,13042,7041,3590,2249,1913,897,1448,859
