AQ,1,2,3,4,5,6,7,8,9,10
1,22190,38644,24270,15047,8661,6155,3823,2768,1934,1557
2,26542,51256,28609,16015,10937,5240,4430,2683,1646,1894
3,32977,67517,34392,22872,11233,9074,4722,4973,4816,3516
4,38604,75824,42675,24219,16089,11393,4592,8200,5160,2886
5,42466,83354,38956,24269,15332,9527,7755,6756,3345,4071
6,46447,70317,38133,24522,14257,12397,6120,4517,4190,3968
7,41368,58976,31677,19060,14586,7500,4793,3972,3107,5533
8,35719,47497,28052,15953,9376,5774,3988,2179,2938,1823
9,28746,37287,21715,12684,8010,7855,3269,2319,2492,2026
10,25265,36607,19166,11481,6487,4732,3072,1519,2180,1083
