AQ,1,2,3,4,5,6,7,8,9,10
1,70571,85334,64839,30851,22561,13520,10823,6374,16935,3514
2,66547,69900,42695,32201,20087,13320,9807,15502,3814,3701
3,52233,81137,45074,25998,17751,10747,20397,3451,4378,1834
4,59315,68736,41742,26892,16480,21511,4519,6304,1632,1188
5,39991,49882,24244,18886,21359,5134,4517,2199,1185,1447
6,19744,27485,14680,23190,2116,1387,842,455,547,240
7,20379,26394,41863,2441,1506,763,551,268,393,172
8,18756,65956,2599,1889,801,246,440,381,-67,160
9,42609,2307,2065,918,684,526,333,-369,88,94
10,691,1394,710,71,39,4,-1,1,0,0
