AQ,1,2,3,4,5,6,7,8,9,10
1,10167,11583,6217,4305,2912,1920,1322,1316,1089,600
2,11123,13884,8349,5070,3766,2657,2303,2002,1226,758
3,13924,16065,9102,6767,4515,3211,1467,2008,2062,243
4,12468,13171,8346,5383,3594,2636,1596,1125,877,614
5,12626,17119,8244,6045,4519,2383,1829,1120,1050,434
6,14694,19850,9053,7520,3457,2504,2049,1031,817,401
7,16503,21475,12974,8785,4962,2411,1663,1203,1365,1038
8,14906,18904,10065,6651,2859,2004,1494,605,973,787
9,11852,14859,7572,3801,2391,1795,1021,625,683,410
10,11668,14530,7475,5410,2146,1535,1366,787,545,739
