AQ,1,2,3,4,5,6,7,8,9,10
1,3962,22325,26713,39637,13699,10341,3939,3161,2079,2064
2,6066,22231,31838,23890,19061,14446,4848,3734,5085,269
3,3751,27752,36613,32308,12364,10289,6004,3432,3073,96
4,3336,42852,49612,39363,17983,12284,13032,3809,2166,647
5,6647,42672,45541,34446,18929,17241,11599,7216,4781,508
6,8056,73031,66645,45543,23924,14998,7488,2781,6311,3348
7,9720,55619,64964,56447,36366,20606,7927,4215,3575,1167
8,7171,75651,77480,56596,34607,19111,7007,3868,1056,1071
9,16696,72104,79556,54009,39947,16396,10986,4746,3421,1286
10,21098,92316,85391,58593,25181,16605,7704,7905,7140,3452
