AQ,1,2,3,4,5,6,7,8,9,10
1,102260,65826,22110,8862,4725,748,749,499,132,10
2,113438,75388,23150,9128,4027,1501,682,218,21,14
3,128209,84981,28433,11959,4092,1815,481,92,378,207
4,129181,89014,30708,10886,4767,1632,634,214,74,118
5,139085,103218,29544,10384,3810,2707,953,1412,-135,53
6,154914,107156,29877,11252,3980,1879,1048,424,638,185
7,172025,119812,30650,12441,5977,2728,782,1263,89,30
8,188892,115691,33012,15640,8484,3207,2284,470,100,141
9,191839,114993,37039,17896,7746,3255,1079,781,869,-419
10,196865,109273,39066,16442,8141,2915,1058,532,223,4
