AQ,1,2,3,4,5,6,7,8,9,10
1,13440,22240,13023,7616,4699,101,1930,507,188,91
2,18757,25409,13412,8686,-664,2121,7648,1344,294,22
3,19834,22391,14122,6847,3918,2347,4808,4941,42,58
4,16230,21815,8010,7928,6655,2279,8157,811,675,19
5,14629,7798,11446,9466,9829,7245,1039,911,101,-6
6,24597,26776,17111,11769,11939,2747,2287,310,118,133
7,31723,28010,17665,16997,6613,3549,2842,668,409,1562
8,37397,33736,23161,9702,3952,1530,923,650,57,490
9,53670,44958,13845,10597,6669,1810,1133,455,289,96
10,52837,24921,17599,9432,4236,2810,632,533,86,285
