AQ,1,2,3,4,5,6,7,8,9,10
1,271778,258282,170611,82938,61371,25626,9337,3927,1757,707
2,296828,304995,178348,108590,56209,23148,8047,3056,2927,615
3,334331,341697,202556,112094,48326,22054,9804,4675,1907,1751
4,354530,387048,208552,113348,48730,19007,7160,4579,1704,1384
5,423048,432495,205477,96655,46835,22140,11008,4719,1891,425
6,484849,470218,216864,98809,53992,26170,14306,8605,2919,991
7,541361,474967,198627,105175,63406,28033,12662,5171,2660,1223
8,547102,438923,199275,118524,74472,31967,13355,8015,2538,906
9,561687,404475,195427,120631,70404,33089,16289,6907,4011,924
10,542021,396482,212993,123152,67030,30541,11950,6835,2298,966
