AQ,1,2,3,4,5,6,7,8,9,10
1,19101,18896,13321,11329,9347,4204,2248,805,1590,253
2,21116,19860,15028,12765,10425,7492,2914,1385,1172,146
3,20624,19234,14928,17274,13830,9160,3687,1287,1400,103
4,20864,19974,17502,21289,20856,9109,3074,1388,306,469
5,23616,22358,20420,23876,22115,8255,3652,1688,2109,575
6,26709,27202,23459,30328,23884,8472,5729,1702,1139,660
7,28869,29547,27020,28110,22970,7366,6391,3132,1291,495
8,32084,37370,30420,31542,25609,11391,6392,2332,2088,419
9,40328,40355,37811,38387,34376,13292,6559,1898,1410,1262
10,46599,46964,39785,46429,38158,10861,6776,3312,2306,507
