AQ,1,2,3,4,5,6,7,8,9,10
1,15318,12422,7671,4793,2184,1338,491,60,123,31
2,15031,15101,7814,4425,1504,643,220,351,5,52
3,16994,14620,7985,5344,1399,1311,213,219,12,144
4,17717,16050,8974,4140,2236,1302,222,146,155,38
5,17842,13275,8319,5435,1939,611,788,515,91,318
6,20266,17200,8255,4920,1603,997,553,299,375,3
7,18778,14438,8814,5665,1557,750,544,253,88,3
8,19900,16542,7143,5592,2875,1098,270,68,161,10
9,20395,15402,8019,3871,2781,617,513,156,2,158
10,20622,15844,8123,5950,2321,1026,724,186,252,32
