AQ,1,2,3,4,5,6,7,8,9,10
1,2439272,2283630,982744,532643,281202,157935,73005,37013,21365,6837
2,2828267,2539759,1126571,601780,321492,157945,79403,38023,18837,9834
3,3186948,2726542,1227123,634002,321759,154712,74098,39771,17524,11638
4,3192619,2685381,1197254,623205,297945,143661,75745,40528,23063,8742
5,3561950,2912341,1289678,640744,312213,159887,82948,38701,18242,9625
6,3895076,3129791,1318550,659703,333979,172104,90532,42787,18010,13078
7,4323103,3267841,1333118,716036,390583,186283,82267,41448,20881,14045
8,4491070,3173120,1341923,730457,383550,191968,100333,49332,35274,15081
9,4444088,3042025,1359108,738401,416117,196532,97505,53282,26380,13807
10,4344144,2960920,1309410,764944,413483,195308,88010,47573,25191,16498
