AQ,1,2,3,4,5,6,7,8,9,10
1,25809,23736,10694,5298,2328,1369,554,244,28,44
2,28810,30969,11577,6762,3323,2428,804,130,97,27
3,32921,30103,13624,6371,4080,1778,1021,241,49,46
4,33413,29708,14150,7478,3437,1642,410,154,187,14
5,36527,32604,13928,8400,3473,1772,350,119,69,-77
6,43101,39003,14911,9139,3519,960,144,320,175,51
7,51464,43078,14637,8694,4379,1262,313,91,15,-49
8,57335,44842,17668,8482,4178,1342,222,176,12,1
9,58704,49252,17336,9856,5097,1116,600,440,29,55
10,61918,45414,16668,8766,4777,1865,531,200,69,60
