AQ,1,2,3,4,5,6,7,8,9,10
1,13457,21368,13061,6247,3954,483,935,702,105,204
2,19839,15924,14647,6878,2593,1673,1711,1309,937,-299
3,12539,27190,10990,4812,3024,1394,2294,383,-161,431
4,10985,32861,9661,3442,4082,2356,1131,973,192,166
5,8211,39158,12831,7207,5087,1554,1641,396,705,284
6,13549,14550,8707,12540,4253,1793,1121,646,306,184
7,15013,16529,16160,6686,3840,3290,124,294,98,520
8,18861,17252,13722,15367,5607,3173,2540,-151,360,641
9,25002,19375,22008,19806,8239,4836,2982,499,405,443
10,27309,33825,23545,15690,5921,3055,2147,1267,453,68
