AQ,1,2,3,4,5,6,7,8,9,10
1,54699,53638,35562,20919,14720,5853,2632,1736,761,2979
2,60091,59275,31785,23514,10804,6744,3939,1861,1984,483
3,65860,64943,41587,25587,12253,9037,3161,1650,777,575
4,61946,59162,37772,23809,12558,6607,3057,624,516,668
5,65043,63507,35883,23075,12315,8185,2917,2081,1091,427
6,72295,72284,40867,22942,10957,6636,4059,1554,1145,626
7,81988,69209,38433,22816,17065,7895,3373,1684,397,1420
8,83207,69263,38504,21949,13270,7530,3301,724,1848,588
9,79699,63891,40756,22434,17547,8971,3918,-491,100,543
10,75827,67293,41845,21600,13487,5785,3577,1582,-695,474
